X,Y,Max_Depth_m,Time_of_Arrival,Duration_timesteps,Hazard_Class,Hazard_Index
407304.40595106815,4360405.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407329.40595106815,4360405.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360405.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360405.277999514,2.4749908,5,63,2,1.2374954
407404.40595106815,4360405.277999514,4.4383698,5,67,4,2.2191849
407429.40595106815,4360405.277999514,4.5107613,5,67,4,2.2553806
407454.40595106815,4360405.277999514,3.1476593,5,67,3,1.5738297
407479.40595106815,4360405.277999514,1.6085625,18,55,2,0.80428123
407504.40595106815,4360405.277999514,1.7766304,18,55,2,0.8883152
407529.40595106815,4360405.277999514,0.0,-1,0,0,0.0
407554.40595106815,4360405.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407179.40595106815,4360380.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407204.40595106815,4360380.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407229.40595106815,4360380.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407254.40595106815,4360380.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360380.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360380.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360380.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360380.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360380.277999514,3.785984,5,67,3,1.892992
407404.40595106815,4360380.277999514,5.291336,5,67,4,2.645668
407429.40595106815,4360380.277999514,5.0150185,5,67,4,2.5075092
407454.40595106815,4360380.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360380.277999514,0.3396759,22,50,0,0.16983795
407504.40595106815,4360380.277999514,0.30153275,23,50,0,0.15076637
407529.40595106815,4360380.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407554.40595106815,4360380.277999514,0.0,-1,0,0,0.0
407179.40595106815,4360355.277999514,0.0,-1,0,0,0.0
407204.40595106815,4360355.277999514,0.0,-1,0,0,0.0
407229.40595106815,4360355.277999514,0.0,-1,0,0,0.0
407254.40595106815,4360355.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360355.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360355.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
